Ticker,Company,RegisterCompany,PlantIds,Plants,MW,PlantNames,Source,Note
PMHPL,Panchakanya Mai Hydropower,"Panchakanya Mai Hydropwer limited Harihar bhawan, Pulchowk, Lalitpur",62;70,2,18.1,Upper Mai | Upper Mai -C,researched,
PPCL,Panchthar Power Company Ltd.,"Panchthar Power Company Pvt. Ltd. Hativan 15, Lalitpur",68,1,14.9,Hewa Khola A,auto,
PPL,Peoples Power Limited,Peoples Power Limited,143,1,5.0,Puwa 2,auto,
RADHI,Radhi Bidhyut Company,Radhi Bidyut Co. Ltd,52,1,4.4,Radhi Small,auto,
RAWA,Rawa Energy Development Limited,Rawa Energy Development Pvt Ltd,106,1,3.0,Rawa Khola,auto,
RFPL,River Falls Power Limited,RIver Falls Power Limited,156,1,10.3,Down Piluwa,auto,
RHGCL,Rapti Hydro And General Construction Limited,Rapti Hydro and General Construction Limited,150,1,5.0,Rukum gad,auto,
RHPL,Rasuwagadhi Hydropower Company Limited,Rasuwagadhi Hydropower Company Ltd. Maharajgunj,180,1,111.0,Rasuwagadhi HPP,auto,
RIDI,Ridi Power Company Limited,Ridi Hydro Power Development Company Limited Ridi,6,1,2.4,Ridi Khola HP,auto,
RLEL,Ridge Line Energy Limited,Ridge Line Energy Limited Kupandole,160,1,9.0,Super Chepe,auto,
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Ruru Jalbidyut Pariyojana Pvt. Ltd,48,1,5.0,Upper Hugdi,researched,
SAHAS,Sahas Urja Limited,Sahas Urja Limited,139,1,86.0,Solu Khola (Dudhkoshi),auto,
SANVI,Sanvi Energy Limited,"Sanvi Energy Pvt. Ltd. Pulchok, Lalitpur",76;188,2,12.8,Jogmai Khola | Jogmai Cascade HPP,auto,
SGHC,Swet-Ganga Hydropower & Construction Limited,Swet Ganga Hydropower and Construction Limited,137,1,28.1,Lower Likhu,auto,
SGHL,Sanigad Hydro Limited,Sanigad Hydro Limited,146,1,38.5,Upper Kalangad,auto,
SHEL,Singati Hydro Energy Limited,Singati Hydro Energy Pvt. Ltd.,113,1,25.0,Singati,auto,
SHPC,Sanima Mai Hydropower,Sanima Mai Hydropower Limited,50;51,2,29.0,Sanima Mai | Mai Cascade,auto,
SIKLES,Sikles Hydropower Limited,"Sikles Hydropower Pvt.Ltd P.O.Box. 170, Lekhnath Nagar Palika - 3, Kaski,",83,1,13.0,Madkyu Khola,researched,
SIPD,Shikhar Power Development Limited,"Shikhar Power Development Ltd. Tokha-10, Kathmandu",184,1,5.0,Bhim Khola Small HPP,auto,
SJCL,Sanjen Jalavidhyut Company Limited,"Sanjen Jalvidyut Company Limited P.O.Box 25210, Gyaneswor",158;179,2,57.3,Upper Sanjen | Sanjen,researched,
SKHEL,Suryakunda Hydro Electric Limited,Surya Kund Hydro Electric Pvt. Ltd. Anam Nagar,193,1,11.0,Upper Tadi,researched,
SKHL,Super Khudi Hydropower Limited,,,0,,Upper Khudi 26MW,not-in-register,no RMS filings
SMH,Super Mai Hydropower Limited,"Supermai Hydropower Pvt.Ltd. Kathmandu -5, Tangal",87,1,7.8,Super Mai HPP,researched,
SMHL,Super Madi Hydropower Limited,Super Madi Hydropower Limited,149,1,44.0,Super Madi,auto,
SMJC,Sagarmatha Jalabidhyut Company Limited,"Sagarmatha Jalbidhyut Company P.Ltd. Thapa Gaun, New Banesor-10, Kathmandu.",92,1,9.6,Super Mai A,researched,
SNORL,Snow Rivers Limited,"Snow River Ltd Tusalmarga house number 148, Kathmandu 7",178,1,13.5,Super Kabeli Khola A HEP,researched,
SOHL,Solu Hydropower Limited,"Solu Hydropower Ltd. Tribeni Complex, Second floor, Putalisadak",195,1,82.0,Lower Solu Hydropower Project,researched,
SPC,Samling Power Company Limited,Samling Power company Pvt.Ltd,121,1,9.5,Mai Beni HPP,auto,
