RowKey,Ticker,Year,Quarter,DataSource,PaidUpCapital,Premium,Reserves,LtLiabilities,TotalFunds,FixedAssets,Depreciation,NetFixedAssets,NonCoreAssets,Investments,WorkInProgress,Cash,Receivables,AdvancesPrepaymentsLoansDeposits,Inventory,TotalCurrentAssets,StLiabilities,DeferredLiabilities,TotalStLiabilities,ApplicationOfFunds,EnergySales,CostOfProduction,GrossProfit,DividendIncome,ForexGainLoss,OtherIncome,AdminExpenses,OperatingProfit,InterestIncomeExpense,Provisions,ProfitBeforeTax,Taxes,Bonus,ProfitAfterTax,EpsAnnualized,BookValuePerShare,Statement,OrdinaryShares,Statement_IncomeStatement,Depreciation_IncomeStatement,EPS,CurrentRatio,NetWorthPerShare,PERatio,Mps,Multiplier,Dividend,BonusD,Cash_IncomeStatement,AdditionalInfo,TotalRevenue,GrowthOverPriorPeriod,GrossProfitMargin,NetIncome,NetIncomeMargin,ReturnOnAsset,ReturnOnEquity,ReportedPeAnnualized,DividendPerShare,QuarterEndPrice
BARUN|2025/26|2|Published,BARUN,2025/26,2,Published,1071630.0,90337.139,53509.513,240389.014,1455865.666,0.0,0.0,518406.004,0.0,387868.768,0.0,115047.794,12018.366,470299.667,0.0,597365.827,46697.137,1077.795,47774.932,1455865.667,62624.049,8405.308,54218.741,0.0,0.0,24.784,5002.35,49241.175,-12206.987,0.0,21696.031,0.0,0.0,21696.031,4.049164543732445,113.42316396517455,BalanceSheet,10716.3,IncomeStatement,15338.157,4.049,12.504,113.423,79.822,323.2,,,,,,62624.049,0.02234026,0.8657814667972045,21696.031,0.3464488698263506,0.013149960655457732,0.017322571146684482,79.81893462449422,,323.2
BARUN|2025/26|1|Published,BARUN,2025/26,1,Published,1047786.7,43743.065,51007.129,247334.094,1389870.988,0.0,0.0,526426.504,0.0,301451.887,0.0,537582.196,39714.491,35434.322,0.0,612731.009,50738.412,0.0,50738.412,1389870.988,39473.754,6167.503,33306.251,0.0,0.0,24.784,2583.252,30747.783,-6457.199,0.0,18990.584,0.0,0.0,18990.584,7.249790057461122,109.0428895499437,BalanceSheet,10477.867,IncomeStatement,5300.0,7.25,12.076,109.043,42.207,306.0,,,,,,39473.754,-0.01116961,0.8437568669045259,18990.584,0.4810939440925735,0.022779828402419412,0.03158106563330759,42.20811879718918,,306.0
BARUN|2024/25|4|Published,BARUN,2024/25,4,Published,535815.0,43743.065,40575.501,254791.772,874925.338,0.0,0.0,530191.216,0.0,305966.44,0.0,11270.27,20292.042,80504.027,0.0,112066.34,68544.023,4754.637,73298.66,874925.335,97021.474,15769.486,81251.988,0.0,0.0,11912.936,10111.882,83053.042,-28794.357,0.0,23833.141,3977.929,0.0,19855.212,3.705609585397945,115.73650718998165,BalanceSheet,5358.15,IncomeStatement,30425.544,3.706,1.529,115.737,112.825,418.13,,5.0,0.0475,0.0025,,97021.474,5.959428,0.8374639618441583,19855.212,0.20464760203498866,0.02264682227054124,0.0324019062077292,112.83703540914094,5.0,418.13
BARUN|2024/25|3|Published,BARUN,2024/25,3,Published,535815.0,43743.065,25370.063,292500.0,897428.128,0.0,0.0,525998.024,0.0,346492.667,0.0,18956.341,6615.908,38929.716,0.0,64501.965,37233.079,2331.449,39564.528,897428.128,72717.85,25314.761,47403.089,0.0,0.0,10579.407,7723.573,50258.923,-22796.263,0.0,5132.885,1554.741,0.0,3578.144,0.8903928905810151,112.89869227251944,BalanceSheet,5358.15,IncomeStatement,22329.775,0.89,1.63,112.899,601.079,534.96,,,,,,72717.85,,0.6518769325550741,3578.144,0.0492058552336187,0.06281015236156404,0.08884472081643634,600.8134225453197,,534.96
BARUN|2024/25|2|Published,BARUN,2024/25,2,Published,535815.0,43743.065,44659.272,300000.0,924217.337,0.0,0.0,532203.782,0.0,346492.667,0.0,31640.81,11374.989,44864.095,0.0,87879.894,37474.633,4884.37,42359.01,924217.34,62564.054,9314.906,53249.148,0.0,0.0,10533.686,5446.839,58335.995,-16508.21,0.0,26975.018,0.0,0.0,26975.018,10.068780455940951,116.49866782378248,,,,14852.767,,,,,,,,,,,,,,,,,,,,414.0
BARUN|2024/25|1|Published,BARUN,2024/25,1,Published,535815.0,43743.065,37841.143,299834.094,917233.302,0.0,0.0,479088.05,0.0,304674.667,0.0,13111.879,41356.841,132910.183,0.0,187378.903,53908.318,0.0,53908.318,917233.302,39919.641,7549.841,32369.8,0.0,0.0,2128.6,3330.756,31167.644,-10118.42,0.0,16049.224,0.0,0.0,16049.224,11.98116812705878,115.2261896363484,,,,5000.0,,,,,,,,,,,,,,,,,,,,363.1
BARUN|2023/24|4|Published,BARUN,2023/24,4,Published,535815.0,43743.065,17659.362,172642.49,769859.917,0.0,0.0,484046.049,0.0,304674.667,0.0,961.708,72400.927,71693.294,0.0,145055.929,163916.728,0.0,163916.728,769859.917,3492.187,15432.592,-11940.405,0.0,0.0,71353.491,10620.024,48793.062,-21200.722,776.708,301.331,0.0,0.0,301.331,0.056237880611778326,111.45963196252437,,,,26514.301,,,,,,,,,,,,,,,,,,,,296.0
BARUN|2023/24|4|Audited,BARUN,2023/24,4,Audited,535815.0,0.0,65534.984,173419.197,774769.181,752401.721,268355.672,484046.049,0.0,304674.667,0.0,961.708,3400.927,145702.294,0.0,150064.929,164016.464,0.0,164016.464,774769.181,3492.187,13691.332,-10199.145,0.0,0.0,74362.491,10361.284,53802.062,-21200.722,0.0,6087.039,1148.261,0.0,4938.778,0.9217319410617472,112.23089760458367,BalanceSheet,5358.15,IncomeStatement,26514.301,0.921731941,0.914938204,112.2308976,321.1345803,296.0,,,,,,3492.187,-0.95618827,-2.92056095506913,4938.778,1.4142364083023047,0.0064766026281686115,0.008235661409363453,,,296.0
BARUN|2023/24|3|Published,BARUN,2023/24,3,Published,535815.0,43743.065,-30837.803,175395.935,724116.197,0.0,0.0,321500.23,0.0,303395.525,0.0,69487.091,0.0,47177.719,0.0,116664.81,17444.367,0.0,17444.367,724116.198,0.0,14354.777,-14354.777,0.0,0.0,865.516,8404.084,-21893.345,-14731.837,0.0,-49293.777,0.0,0.0,-49293.777,-12.266367309612459,102.40852943646595,,,,12668.595,,,,,,,,,,,,,,,,,,,,239.0
BARUN|2023/24|2|Published,BARUN,2023/24,2,Published,535815.0,43743.065,-21258.132,175395.935,733695.868,0.0,0.0,413662.026,0.0,188397.525,0.0,50447.54,0.0,98001.141,0.0,148448.681,16812.364,0.0,16812.364,733695.868,0.0,11783.792,-11783.792,0.0,0.0,865.516,6442.568,-17360.844,-9470.503,0.0,-37338.146,0.0,0.0,-37338.146,-13.93695435924713,104.1963985704021,,,,10506.799,,,,,,,,,,,,,,,,,,,,255.9
