Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Distribution Date,Bonus Listing Date,Fiscal Year
HBL,Himalayan Bank Limited,8.00,11.11,19.11,2022-12-20,2023-01-02 [Closed],,2023-02-17,2078/2079
CBL,Civil Bank Limited,5.00,0.26,5.26,2022-12-20,2023-01-03 [Closed],,2023-01-30,2078/2079
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,25.00,5.00,30.00,2022-12-19,2023-01-01 [Closed],,2023-05-17,2078/2079
MLBL,Mahalaxmi Bikas Bank Limited,4.00,6.47,10.47,2022-12-18,2023-01-02 [Closed],,2023-04-13,2078/2079
MNBBL,Muktinath Bikas Bank Limited,13.5,0.7105,14.2105,2022-12-18,2023-01-04 [Closed],,2023-03-29,2078/2079
BHDC,Bindhyabasini Hydropower Development Company Limited,5.00,0.0263,5.0263,2022-12-16,2022-12-28 [Closed],,2023-03-19,2078/2079
SIFC,Shree Investment Finance Company Limited,2.4,5.2,7.6,2022-12-16,2023-01-03 [Closed],,2023-04-09,2078/2079
MHL,Mandakini Hydropower Limited,0.00,5.00,5.00,2022-12-16,2023-01-05 [Closed],,,2078/2079
NBL,Nepal Bank Limited,2.00,10.00,12.00,2022-12-16,2022-12-29 [Closed],,2023-05-17,2078/2079
SICL,Shikhar Insurance Company Limited,16.00,0.8421,16.8421,2022-12-16,2023-01-31 [Closed],,2023-03-26,2078/2079
HIDCL,Hydroelectricity Investment and Development Company Limited,5.00,0.263,5.263,2022-12-15,2022-12-29 [Closed],,2023-05-28,2078/2079
SHIVM,Shivam Cements Limited,0.00,10.53,10.53,2022-12-15,2023-01-04 [Closed],,,2078/2079
PCBL,Prime Commercial Bank Limited,4.00,4.95,8.95,2022-12-15,2022-12-29 [Closed],,2023-03-16,2078/2079
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,4.00,0.2105,4.2105,2022-12-14,2023-01-04 [Closed],,2023-03-16,2078/2079
NABIL,Nabil Bank Limited,18.5,11.5,30.00,2022-12-12,2023-01-02 [Closed],,2023-03-10,2078/2079
PPCL,Panchthar Power Company Limited,0.00,7.00,7.00,2022-12-09,2022-12-22 [Closed],,,2078/2079
SBL,Siddhartha Bank Limited,12.5,0.66,13.16,2022-12-07,2022-12-28 [Closed],,2023-03-19,2078/2079
CHCL,Chilime Hydro power Company Limited,7.5,7.5,15.00,2022-12-07,2022-12-18 [Closed],,2023-03-13,2078/2079
NMB,NMB Bank Limited,0.00,8.25,8.25,2022-12-06,2022-12-26 [Closed],,,2078/2079
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,26.00,1.3684,27.3684,2022-12-06,2023-03-15 [Closed],,2023-06-04,2078/2079
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,26.00,1.3684,27.3684,2022-12-06,2023-03-12 [Closed],,2023-06-18,2078/2079
MDB,Miteri Development Bank Limited,12.35,0.65,13.00,2022-12-05,2022-12-29 [Closed],,2023-05-18,2078/2079
NIL,Neco Insurance Limited,15.00,0.79,15.79,2022-12-05,2023-01-17 [Closed],,2023-03-28,2078/2079
NRN,NRN Infrastructure and Development Limited,0.00,5.26,5.26,2022-12-04,2022-12-20 [Closed],,,2078/2079
NLG,NLG Insurance Company Limited,10.00,0.5263,10.5263,2022-12-04,2023-03-27 [Closed],,2023-05-21,2078/2079
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,19.00,1.00,20.00,2022-12-02,2023-01-01 [Closed],,2023-03-05,2078/2079
AHPC,Arun Valley Hydropower Development Company Limited,8.00,0.421,8.421,2022-12-02,2023-02-01 [Closed],,2023-04-27,2078/2079
ICFC,ICFC Finance Limited,5.00,5.00,10.00,2022-12-01,2023-01-03 [Closed],,2023-03-05,2078/2079
CCBL,Century Commercial Bank Limited,4.75,0.25,5.00,2022-12-01,2022-12-19 [Closed],,2023-03-05,2078/2079
LBBL,Lumbini Bikas Bank Limited,3.00,9.00,12.00,2022-11-29,2022-12-28 [Closed],,2023-03-20,2078/2079
SBI,Nepal SBI Bank Limited,3.00,7.53,10.53,2022-11-29,2022-12-28 [Closed],,,2078/2079
NHDL,Nepal Hydro Developer Limited,5.00,0.0263,5.0263,2022-11-28,2022-12-26 [Closed],,2023-04-25,2078/2079
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,8.00,3.00,11.00,2022-11-27,2022-12-30 [Closed],,2023-03-28,2078/2079
HDL,Himalayan Distillery Limited,60.00,10.00,70.00,2022-11-25,2023-01-04 [Closed],,2023-02-16,2078/2079
SHINE,Shine Resunga Development Bank Limited,13.3,0.7,14.00,2022-11-24,2022-12-27 [Closed],,2023-03-20,2078/2079
UMRH,United Idi-Mardi and R.B. Hydropower Limited,0.00,10.526,10.526,2022-11-24,2022-12-02 [Closed],,,2078/2079
NEPS,Nepal Electronic Payment Systems Limited,0.00,10.00,10.00,2022-11-23,,,,2078/2079
IGIL,IME General Insurance Limited,6.00,0.32,6.32,2022-11-22,2023-01-11 [Closed],,2023-04-03,2078/2079
RIDI,Ridi Power Company Limited,40.00,2.1,42.1,2022-11-22,2023-02-01 [Closed],,2023-03-30,2078/2079
PRVU,Prabhu Bank Limited,6.5,1.5,8.00,2022-11-18,2022-12-16 [Closed],,2023-03-05,2078/2079
SIL,Siddhartha Insurance Limited,9.00,0.4737,9.4737,2022-11-16,2023-01-02 [Closed],,2023-02-26,2078/2079
MEN,Mountain Energy Nepal Limited,0.00,10.5263,10.5263,2022-11-16,2022-12-13 [Closed],,,2078/2079
MEGA,Mega Bank Nepal Limited,4.00,3.79,7.79,2022-11-16,2022-12-09 [Closed],,2023-01-18,2078/2079
NIB,Nepal Investment Bank Limited,4.00,7.00,11.00,2022-11-16,2022-12-07 [Closed],,2023-01-31,2078/2079
PIC,Premier Insurance Company (Nepal) Limited,14.25,0.75,15.00,2022-11-16,2023-01-06 [Closed],,2023-02-27,2078/2079
UIC,United Insurance Company (Nepal) Limited,5.00,0.2632,5.2632,2022-11-13,2023-01-01 [Closed],,2023-04-06,2078/2079
GBBL,Garima Bikas Bank Limited,13.00,1.5,14.5,2022-11-11,2022-12-23 [Closed],,2023-04-27,2078/2079
MCML,Mega Capital Markets Limited,0.00,24.5,24.5,2022-11-10,,,,2078/2079
NSDCL,Nagarik Stock Dealer Company Ltd.,6.85,0.00,6.85,2022-11-08,,,,2078/2079
CARE,Care Ratings Nepal Limited,21.0526,0.00,21.0526,2022-11-08,,,,2078/2079
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2022-11-06,2023-06-06 [Closed],,2023-08-24,2078/2079
EBL,Everest Bank Limited,13.00,7.68,20.68,2022-11-06,2022-11-29 [Closed],,2023-02-22,2078/2079
UNL,Unilever Nepal Limited,0.00,"1,215.00","1,215.00",2022-11-03,2022-11-20 [Closed],,,2078/2079
SCB,Standard Chartered Bank Nepal Limited,0.00,16.51,16.51,2022-10-31,2022-11-23 [Closed],,,2078/2079
GBIME,Global IME Bank Limited,3.00,10.6,13.6,2022-10-29,2022-11-23 [Closed],,2023-02-12,2078/2079
SANIMA,Sanima Bank Limited,10.00,0.98,10.98,2022-10-23,2022-12-05 [Closed],,2023-03-01,2078/2079
LAXMICAP,Laxmi Capital Market Limited,7.00,7.00,14.00,2022-10-22,,,,2078/2079
SHL,Soaltee Hotel Limited,5.00,21.3158,26.3158,2022-10-19,2022-12-22 [Closed],,2023-02-27,2078/2079
NADDF,NIC Asia Dynamic Debt Fund,0.00,6.00,6.00,2022-10-16,2022-11-01 [Closed],,,2078/2079
NICGF,NIC Asia Growth Fund,0.00,13.00,13.00,2022-10-16,2022-11-01 [Closed],,,2078/2079
NICBF,NIC ASIA Balanced Fund,0.00,13.00,13.00,2022-10-16,2022-11-01 [Closed],,,2078/2079
NCCB,Nepal Credit and Commerce Bank Limited,3.3663,7.6337,11.00,2022-10-16,2022-11-01 [Closed],,2022-12-21,2078/2079
BOKL,Bank of Kathmandu Limited,6.00,14.95,20.95,2022-10-16,2022-11-25 [Closed],,2023-01-06,2078/2079
NIBLACE,NIBL Ace Capital Limited,0.00,20.00,20.00,2022-10-14,,,,2078/2079
SUCL,Sunrise Capital Limited (NCM/NIDC),0.00,25.00,25.00,2022-10-13,,,,2078/2079
NMBCAP,NMB Capital Limited,0.00,21.0526,21.0526,2022-10-12,,,,2078/2079
NEF,Nabil Equity Fund,0.00,5.00,5.00,2022-10-12,2022-11-04 [Closed],,,2078/2079
NBF2,Nabil Balanced Fund - 2,0.00,7.00,7.00,2022-10-12,2022-11-04 [Closed],,,2078/2079
KBL,Kumari Bank Limited,0.00,12.5,12.5,2022-09-30,2022-10-31 [Closed],,,2078/2079
BOKCML,BOK Capital Market Limited,0.00,5.79,5.79,2022-09-28,,,,2078/2079
RBBMBL,RBB Merchant Banking Limited,0.00,7.5,7.5,2022-09-27,,,,2078/2079
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10.00,0.5263,10.5263,2022-09-25,2022-10-13 [Closed],,2023-01-18,2078/2079
BNT,Bottlers Nepal (Terai) Limited,0.00,60.00,60.00,2022-09-24,2023-01-04 [Closed],,,2078/2079
BNL,Bottlers Nepal Limited (Balaju),0.00,20.00,20.00,2022-09-24,2023-01-04 [Closed],,,2078/2079
NIFRA,Nepal Infrastructure Bank Limited,0.00,4.2105,4.2105,2022-09-23,2022-11-17 [Closed],,,2078/2079
HATHY,Hathway Investment Nepal Limited,0.00,10.00,10.00,2022-09-23,,,,2078/2079
SIDCL,Siddhartha Capital Limited,0.00,25.00,25.00,2022-09-22,,,,2078/2079
CZBIL,Citizens Bank International Limited,0.00,9.00,9.00,2022-09-22,2022-10-14 [Closed],,,2078/2079
NLO,Nepal Lube Oil Limited,25.00,5.00,30.00,2022-09-21,2022-09-30 [Closed],,2023-05-11,2078/2079
AKPL,Arun Kabeli Power Limited,10.00,0.5263,10.5263,2022-09-20,2022-11-04 [Closed],,2023-07-19,2078/2079
SANCAP,Sanima Capital Limited,0.00,15.789,15.789,2022-09-14,,,,2078/2079
SAEF,Sanima Equity Fund,0.00,22.00,22.00,2022-09-13,2022-09-25 [Closed],,,2078/2079
SHPC,Sanima Mai Hydropower Limited,0.00,5.2632,5.2632,2022-09-06,2022-09-28 [Closed],,,2078/2079
SFMF,Sunrise First Mutual Fund,0.00,12.00,12.00,2022-08-31,2022-09-14 [Closed],,,2078/2079
NIBLSF,NIBL Sahabhagita Fund,0.00,7.2,7.2,2022-08-26,2022-08-25 [Closed],,,2078/2079
NIBLPF,NIBL Pragati Fund,0.00,4.2,4.2,2022-08-25,2022-09-14 [Closed],,,2078/2079
KCL,Kumari Capital Limited,0.00,5.00,5.00,2022-08-14,,,,2078/2079
SEF,Siddhartha Equity Fund,0.00,9.00,9.00,2022-08-11,2022-08-23 [Closed],,,2078/2079
SIGS2,Siddhartha Investment Growth Scheme-2,0.00,10.00,10.00,2022-08-11,2022-08-23 [Closed],,,2078/2079
NMBHF1,NMB Hybrid Fund L- 1,0.00,21.0526,21.0526,2022-08-05,2022-08-16 [Closed],,,2078/2079
NMB50,NMB 50,0.00,21.0526,21.0526,2022-08-05,2022-08-16 [Closed],,,2078/2079
LUK,Laxmi Unnati Kosh,0.00,5.00,5.00,2022-08-02,2022-08-23 [Closed],,,2078/2079
NICACL,NIC Asia Capital Limited,0.00,55.00,55.00,2022-08-02,,,,2078/2079
LEMF,Laxmi Equity Fund,0.00,5.00,5.00,2022-08-02,2022-08-23 [Closed],,,2078/2079
NICL,Nepal Insurance Company Limited,8.00,0.4211,8.4211,,2022-12-23 [Closed],,2023-02-27,2078/2079
PLI,Prabhu Life Insurance Limited,9.8,0.5158,10.3158,2023-05-17,2023-05-26 [Closed],,2023-08-17,2077/2078
GLICL,Gurans Life Insurance Company Limited,13.2712,0.00,13.2712,2023-03-26,2023-04-06 [Closed],,2023-05-08,2077/2078
ULI,Union Life Insurance Company Limited,8.97,0.00,8.97,2022-12-28,2023-01-30 [Closed],,2023-04-13,2077/2078
PLIC,Prime Life Insurance Company Limited,13.00,0.6842,13.6842,2022-10-20,2022-12-23 [Closed],,2023-03-09,2077/2078
NLIC,Nepal Life Insurance Company Limited,0.00,15.7895,15.7895,2022-09-16,2022-11-04 [Closed],,,2077/2078
NLICL,National Life Insurance Company Limited,15.00,0.789,15.789,2022-09-13,2022-11-24 [Closed],,2023-02-12,2077/2078
ALICL,Asian Life Insurance Company Limited,14.5,0.76,15.26,2022-08-07,2022-09-20 [Closed],,2022-11-28,2077/2078
CIT,Citizen Investment Trust,30.00,1.5789,31.5789,2022-06-25,2022-08-10 [Closed],,2022-10-12,2077/2078
LGIL,Lumbini General Insurance Limited,9.5,0.5,10.00,2022-06-23,2022-06-29 [Closed],,2022-09-05,2077/2078
NRIC,Nepal Reinsurance Company Limited,5.00,0.2632,5.2632,2022-06-19,2022-09-04 [Closed],,2023-04-27,2077/2078
EDBL,Excel Development Bank Limited,8.5,0.45,8.95,2022-06-14,2022-07-12 [Closed],,2023-01-23,2077/2078
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,9.33,0.5,9.83,2022-03-28,2022-06-01 [Closed],,2023-04-03,2077/2078
NICL,Nepal Insurance Company Limited,11.00,0.5789,11.5789,2022-03-22,2022-05-31 [Closed],,2022-07-24,2077/2078
NTC,Nepal Doorsanchar Company Limited,20.00,20.00,40.00,2022-03-15,2022-03-25 [Closed],,2022-08-09,2077/2078
STC,Salt Trading Corporation Limited,10.00,0.5,10.5,2022-03-13,2022-03-29 [Closed],,2022-05-24,2077/2078
SIC,Sagarmatha Insurance Company Limited,20.00,1.0526,21.0526,2022-02-25,2022-04-29 [Closed],,2022-08-02,2077/2078
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,19.00,1.00,20.00,2022-02-23,2022-04-06 [Closed],,2022-07-17,2077/2078
EIC,Everest Insurance Company Limited,6.00,0.3158,6.3158,2022-02-23,2022-04-25 [Closed],,2022-06-28,2077/2078
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,70.00,3.68,73.68,2022-02-20,2022-03-26 [Closed],,2022-07-01,2077/2078
IGIL,IME General Insurance Limited,7.00,0.37,7.37,2022-02-17,2022-04-08 [Closed],,2022-07-20,2077/2078
NHPC,National Hydro Power Company Limited,18.525,0.975,19.5,2022-02-14,2022-02-25 [Closed],,2022-06-21,2077/2078
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,21.00,0.00,21.00,2022-02-09,2022-03-31 [Closed],,2022-07-14,2077/2078
PICL,Prudential Insurance Company Limited,7.00,0.368,7.368,2022-02-08,2022-04-07 [Closed],,2022-06-01,2077/2078
SIL,Siddhartha Insurance Limited,15.00,0.7895,15.7895,2022-02-03,2022-03-31 [Closed],,2022-06-16,2077/2078
NLG,NLG Insurance Company Limited,10.00,0.5263,10.5263,2022-01-28,2022-03-20 [Closed],,2022-06-21,2077/2078
NIL,Neco Insurance Limited,15.00,0.79,15.79,2022-01-17,2022-03-15 [Closed],,2022-05-31,2077/2078
KLBSL,Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited),20.00,0.00,20.00,2022-01-17,2022-06-03 [Closed],,2023-01-30,2077/2078
PRIN,Prabhu Insurance Company Limited,11.00,0.58,11.58,2022-01-14,2022-03-31 [Closed],2022-06-24,2022-06-21,2077/2078
PIC,Premier Insurance Company (Nepal) Limited,14.25,0.75,15.00,2022-01-14,2022-01-19 [Closed],,2022-03-02,2077/2078
JFL,Janaki Finance Company Limited,15.00,0.7895,15.7895,2022-01-11,2022-02-07 [Closed],,2022-06-22,2077/2078
HGI,Himalayan General Insurance Company Limited,6.65,0.35,7.00,2022-01-06,2022-02-28 [Closed],,2022-05-02,2077/2078
GBBL,Garima Bikas Bank Limited,16.00,0.00,16.00,2022-01-06,2022-03-18 [Closed],,,2077/2078
KPCL,Kalika Power Company Limited,15.00,0.7895,15.7895,2021-12-24,2022-01-03 [Closed],,2022-07-27,2077/2078
NEPSE,Nepal Stock Exchange Limited,66.67,100.00,166.67,2021-12-23,2022-01-02 [Closed],,,2077/2078
RBBL,Rastriya Banijya Bank Limited,30.00,3.00,33.00,2021-12-23,2022-01-03 [Closed],,,2077/2078
HDL,Himalayan Distillery Limited,75.00,25.00,100.00,2021-12-22,2021-12-31 [Closed],,2022-02-13,2077/2078
CBL,Civil Bank Limited,5.00,0.26,5.26,2021-12-21,2022-01-04 [Closed],,2022-02-17,2077/2078
RLFL,Reliance Finance Limited,15.00,0.79,15.79,2021-12-20,2022-01-04 [Closed],,2022-04-03,2077/2078
NRN,NRN Infrastructure and Development Limited,5.00,0.26,5.26,2021-12-20,2021-12-30 [Closed],,2022-03-25,2077/2078
PFL,Pokhara Finance Limited,8.075,0.425,8.5,2021-12-17,2022-01-05 [Closed],,2022-03-21,2077/2078
ADBL,Agricultural Development Bank Limited,20.00,1.0526,21.0526,2021-12-17,2021-12-31 [Closed],,2022-02-27,2077/2078
NHDL,Nepal Hydro Developer Limited,7.00,0.3684,7.3684,2021-12-17,2021-12-28 [Closed],,2022-04-03,2077/2078
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,25.2853,0.00,25.2853,2021-12-17,2021-12-30 [Closed],,2022-06-28,2077/2078
CCBL,Century Commercial Bank Limited,5.75,0.3,6.05,2021-12-17,2022-01-03 [Closed],,2022-03-02,2077/2078
PROFL,Progressive Finance Limited,6.00,0.3157,6.3157,2021-12-17,2022-01-03 [Closed],,2022-06-20,2077/2078
CFCL,Central Finance Limited,7.7,3.3,11.00,2021-12-16,2022-01-02 [Closed],,2022-05-24,2077/2078
BPCL,Butwal Power Company Limited,10.00,10.00,20.00,2021-12-15,2021-12-26 [Closed],,2022-02-22,2077/2078
MPFL,Multipurpose Finance Company Limited,13.00,0.68,13.68,2021-12-15,2022-01-05 [Closed],,2022-05-09,2077/2078
GFCL,Goodwill Finance Company Limited,9.1,3.9,13.00,2021-12-13,2021-12-31 [Closed],,2022-02-21,2077/2078
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,19.00,1.00,20.00,2021-12-13,2022-01-02 [Closed],,2023-01-13,2077/2078
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,25.00,1.3158,26.3158,2021-12-12,2022-01-03 [Closed],,2022-07-14,2077/2078
MFIL,Manjushree Finance Limited,40.00,6.00,46.00,2021-12-10,2021-12-30 [Closed],,2022-03-25,2077/2078
CHCL,Chilime Hydro power Company Limited,7.5,7.5,15.00,2021-12-10,2021-12-30 [Closed],,2022-03-06,2077/2078
MDB,Miteri Development Bank Limited,13.3,0.7,14.00,2021-12-09,2021-12-29 [Closed],,2022-02-23,2077/2078
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,35.00,7.00,42.00,2021-12-08,2021-12-31 [Closed],,2022-07-05,2077/2078
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,25.00,1.3157,26.3157,2021-12-06,2022-01-05 [Closed],,2022-06-28,2077/2078
GMFIL,Guheswori Merchant Banking & Finance Limited,10.00,0.5263,10.5263,2021-12-02,2022-01-06 [Closed],,2022-02-23,2077/2078
NCCB,Nepal Credit and Commerce Bank Limited,8.00,0.42,8.42,2021-12-01,2021-12-27 [Closed],,2022-02-13,2077/2078
SIFC,Shree Investment Finance Company Limited,7.7,3.3,11.00,2021-12-01,2022-01-06 [Closed],,2022-04-17,2077/2078
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,20.00,5.00,25.00,2021-12-01,2022-01-02 [Closed],,2022-03-29,2077/2078
MLBL,Mahalaxmi Bikas Bank Limited,20.00,1.0526,21.0526,2021-11-29,2021-12-28 [Closed],,2022-04-12,2077/2078
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,29.5,1.5526,31.0526,2021-11-26,2021-12-28 [Closed],,2022-07-11,2077/2078
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,25.00,1.3158,26.3158,2021-11-25,2021-12-20 [Closed],,2022-03-22,2077/2078
JBBL,Jyoti Bikash Bank Limited,11.00,4.5,15.5,2021-11-25,2021-12-24 [Closed],,2022-02-14,2077/2078
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,13.00,0.00,13.00,2021-11-25,2022-01-05 [Closed],,2022-04-18,2077/2078
SBI,Nepal SBI Bank Limited,3.5,1.81,5.31,2021-11-24,2021-12-22 [Closed],,2022-03-21,2077/2078
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,27.7,1.46,29.16,2021-11-21,2021-12-30 [Closed],,2022-04-12,2077/2078
NMFBS,National Laghubitta Bittiya Sanstha Limited,40.00,5.00,45.00,2021-11-18,2022-01-11 [Closed],,2022-03-30,2077/2078
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27.00,3.00,30.00,2021-11-18,2021-12-22 [Closed],,2022-04-17,2077/2078
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,20.031,1.054,21.085,2021-11-16,2021-12-27 [Closed],,2022-04-07,2077/2078
WOMI,Womi Laghubitta Bittiya Sanstha Limited,20.00,0.00,20.00,2021-11-12,2021-12-16 [Closed],,2022-03-21,2077/2078
PRVU,Prabhu Bank Limited,12.00,0.63,12.63,2021-11-11,2021-12-19 [Closed],,2022-02-22,2077/2078
LBL,Laxmi Bank Limited,8.00,3.5,11.5,2021-11-11,2021-12-10 [Closed],,2022-02-20,2077/2078
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,20.00,0.00,20.00,2021-11-11,2021-12-16 [Closed],,2022-04-12,2077/2078
PCBL,Prime Commercial Bank Limited,16.00,0.6313,16.6313,2021-11-09,2021-12-08 [Closed],,2022-02-27,2077/2078
SRBL,Sunrise Bank Limited,6.65,0.35,7.00,2021-11-09,2021-12-19 [Closed],,2022-02-20,2077/2078
MEGA,Mega Bank Nepal Limited,10.00,2.07,12.07,2021-11-09,2021-11-30 [Closed],,2022-01-17,2077/2078
NABIL,Nabil Bank Limited,33.6,4.4,38.00,2021-11-03,2021-12-31 [Closed],,2022-03-29,2077/2078
HIDCL,Hydroelectricity Investment and Development Company Limited,8.00,0.421,8.421,2021-11-02,2021-12-20 [Closed],,2022-07-20,2077/2078
MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,17.00,0.00,17.00,2021-11-02,2021-12-19 [Closed],,2022-04-17,2077/2078
SHINE,Shine Resunga Development Bank Limited,10.93,0.57,11.5,2021-11-01,2021-12-03 [Closed],,2022-02-17,2077/2078
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20.00,5.00,25.00,2021-11-01,2021-12-10 [Closed],,2022-05-02,2077/2078
MNBBL,Muktinath Bikas Bank Limited,17.575,0.925,18.5,2021-10-31,2021-12-01 [Closed],,2022-02-13,2077/2078
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,26.00,0.00,26.00,2021-10-31,2021-12-27 [Closed],,2022-05-05,2077/2078
NMB,NMB Bank Limited,12.5,3.3,15.8,2021-10-31,2021-12-22 [Closed],,2022-03-20,2077/2078
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,30.00,0.00,30.00,2021-10-29,2021-12-29 [Closed],,2022-04-22,2077/2078
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,21.5,1.13,22.63,2021-10-29,2021-12-24 [Closed],,2022-08-02,2077/2078
EBL,Everest Bank Limited,6.00,4.32,10.32,2021-10-29,2021-12-03 [Closed],,2022-03-20,2077/2078
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,19.00,1.00,20.00,2021-10-28,2021-12-22 [Closed],,2022-03-20,2077/2078
NADEP,NADEP Laghubitta Bittiya Sanstha Limited,20.00,1.053,21.053,2021-10-28,2022-01-17 [Closed],,2023-12-01,2077/2078
BOKL,Bank of Kathmandu Limited,10.00,4.00,14.00,2021-10-26,2021-11-26 [Closed],,2022-02-13,2077/2078
LBBL,Lumbini Bikas Bank Limited,13.00,0.6842,13.6842,2021-10-26,2021-12-13 [Closed],,2022-02-13,2077/2078
NBL,Nepal Bank Limited,14.00,3.00,17.00,2021-10-25,2021-12-07 [Closed],,2022-02-21,2077/2078
SBL,Siddhartha Bank Limited,14.25,0.75,15.00,2021-10-25,2022-01-02 [Closed],,2022-02-27,2077/2078
SMB,Support Laghubitta Bittiya Sanstha Limited,30.00,1.5789,31.5789,2021-10-24,2021-12-16 [Closed],,2022-05-31,2077/2078
ICFC,ICFC Finance Limited,10.00,4.00,14.00,2021-10-17,2021-12-09 [Closed],,2022-02-13,2077/2078
RRHP,Rairang Hydropower Development Company Limited.,0.00,12.6,12.6,2021-10-11,2021-10-21 [Closed],,,2077/2078
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,21.4876,1.1309,22.6185,2021-10-11,2021-12-12 [Closed],,2022-06-13,2077/2078
GIMES1,Global IME Samunnat Scheme 1,0.00,100.00,100.00,2021-10-11,2021-12-08 [Closed],,,2077/2078
GBIME,Global IME Bank Limited,10.00,3.5,13.5,2021-10-11,2021-11-29 [Closed],,2022-02-22,2077/2078
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,47.5,2.5,50.00,2021-10-10,2021-12-02 [Closed],,2022-02-15,2077/2078
NBB,Nepal Bangladesh Bank Limited,12.00,3.5,15.5,2021-10-10,2021-11-01 [Closed],,2022-02-20,2077/2078
SHIVM,Shivam Cements Limited,0.00,29.00,29.00,2021-10-10,2021-10-25 [Closed],,,2077/2078
HBL,Himalayan Bank Limited,21.38,4.62,26.00,2021-10-08,2021-12-26 [Closed],,2022-08-10,2077/2078
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,19.00,6.00,25.00,2021-10-08,2021-12-21 [Closed],,2022-07-15,2077/2078
MBL,Machhapuchchhre Bank Limited,13.3,0.7,14.00,2021-10-08,2021-10-24 [Closed],,2022-01-20,2077/2078
SADBL,Shangrila Development Bank Limited,10.00,0.5263,10.5263,2021-10-06,2021-10-22 [Closed],,2021-12-20,2077/2078
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,31.05,1.63,32.68,2021-10-06,2021-12-03 [Closed],,2022-03-27,2077/2078
GILB,Global IME Laghubitta Bittiya Sanstha Limited,28.00,0.00,28.00,2021-10-06,2021-11-30 [Closed],,2022-03-31,2077/2078
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,0.00,5.41,5.41,2021-10-05,2021-11-09 [Closed],,,2077/2078
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,20.00,1.0526,21.0526,2021-10-05,2021-11-25 [Closed],,2022-02-15,2077/2078
SCB,Standard Chartered Bank Nepal Limited,10.00,3.06,13.06,2021-10-05,2021-11-26 [Closed],,2022-02-16,2077/2078
NIB,Nepal Investment Bank Limited,12.611,3.389,16.00,2021-10-04,2021-11-22 [Closed],,2022-02-15,2077/2078
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,25.00,1.3158,26.3158,2021-10-04,2021-10-29 [Closed],,2022-01-20,2077/2078
NIBPO,Nepal Investment Bank Limited Promoter Share,12.611,3.389,16.00,2021-10-04,2021-11-22 [Closed],,,2077/2078
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,10.00,0.5263,10.5263,2021-10-03,2021-11-16 [Closed],,2022-05-25,2077/2078
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,20.00,7.3684,27.3684,2021-10-03,2021-11-16 [Closed],,2022-01-09,2077/2078
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,32.3,1.7,34.00,2021-10-03,2021-12-09 [Closed],,2022-03-29,2077/2078
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),19.00,1.00,20.00,2021-09-30,2021-10-31 [Closed],,2022-02-15,2077/2078
