PlantId,PlantName,Cap_kW,District,Province,lat,lon,precision,source,matched_to
95,Super Mai Khola Cascade HPP,3000.0,Ilam,Province 1,26.8963,87.951,river,"on Mai Khola, nearest Ilam",Mai Khola
96,Lower Hewa,22100.0,Panchthar,Province 1,27.1582,87.7474,river,"on Hewa Khola, nearest Panchthar",Hewa Khola
97,Upper Mardi,7000.0,Kaski,Gandaki,28.37161,83.88348,exact,Wikidata,Upper Mardi Khola Hydropower Station
98,Iwa Khola	,9900.0,Taplejung,Province 1,27.2838,87.8315,river,"on Iwa, nearest Taplejung",Iwa
99,Upper Trishuli 3A,60000.0,Rashuwa,Bagmati,28.063737,85.206609,plus,"Google Maps 3674+FJX, Dandagaun 45000",
100,Kulekhani-III HP,14000.0,Makawanpur,Bagmati,27.4732383,85.0395276,exact,OSM,Kulekhani III HEP
101,Upper Naugad Gad ,8000.0,Darchula,Sudurpashchim,29.723513,80.663359,plus,"Google Maps PMF7+C85, 10100",
102,Kabeli B - 1,25000.0,Panchthar,Province 1,27.2725,87.7808,river,"on Kabeli, nearest Panchthar",Kabeli
103,Padam Khola SHP,4800.0,Dailekh,Karnali,28.908611,81.848889,plus,cited: midpoint of author-supplied coordinate range,
104,Ghalemdi Khola,5000.0,Myagdi,Gandaki,28.536887,83.675078,plus,"Google Maps GMPG+Q24, Narchyang 33200",
105,Solu,23500.0,Sankhuwasabha,Province 1,27.445,86.583333,plus,cited: author-supplied coordinates - see the Sankhuwasabha/Solukhumbu note above,
106,Rawa Khola,3000.0,Khotang,Province 1,27.348187,86.840063,plus,"Google Maps 8RXR+72, Sungdel 56200",
107,Namarjun Madi,12000.0,Kaski,Gandaki,28.2356,84.0834,river,"on Madi River, nearest Kaski",Madi River
108,Ghatte Khola,5000.0,Dolakha,Bagmati,27.786937,86.286812,plus,"Google Maps Q7PP+QP, Sikpasor Khani 45500",
109,Bijaypur Khola 2 HPP,4500.0,Kaski,Gandaki,28.16486,84.03833,plus,cited: author-supplied decimal coordinates,
110,Taksar Pikhuwa,8000.0,Bhojpur,Province 1,27.120338,87.066016,plus,"Google Maps 43C8+4CJ, Bhojpur 57000",
111,Upper Chaku A,22200.0,Sindhupalchok,Bagmati,27.873913,85.926453,plus,"Google Maps VWFG+HH8, Phulpingkatti",
