Symbol,Sector,Ticker,Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
SIKLES,Hydro Power,SIKLES,Sikles Hydropower Limited,2025/26 Q4,568.1,584.9702,-4.9,0.0074,0.0219,-0.0205,0.0002,-0.0717,4828850000.0,977500.0,138097.812,338841.235,298544.249,137533.055,0.0,0.792593,0.091209,0.701615,0.426537,0.22742,0.881074,0.07395,0.808639,0.565033,0.405892,0.124287,0.065216,0.131556,0.069781,0.036615,0.069959,14.069878,7.38273,14.069878,14.069878,114.1277,40.377039,40.377039,76.949852,40.377039,4.977759,2.243447,2.243447,0.465728,1.760522,1.0434,1.0529,-0.0209,-0.0299,-0.1573,-0.2303,0.0377,-0.003,-12.566667,0.391327,53.7774,0.023586,-0.0469,-0.1801,1.339524
SIPD,Hydro Power,SIPD,Shikhar Power Development Limited,2025/26 Q4,611.8,698.4381,29.8,0.053,-0.0936,-0.1596,0.0,0.0,5995640000.0,980000.0,-61564.609,35674.538,27223.46,-75784.402,0.0,0.387912,-0.029811,-0.244563,-1.493454,-2.662153,0.763106,0.071756,0.500715,-0.721604,-2.124327,-0.081273,-0.116336,0.0,-0.04735,-0.067778,0.0,-7.733102,-11.069344,-7.733102,-7.733102,93.7179,-79.114433,-79.114433,-55.269759,-79.114433,6.528102,69.961907,42.991699,0.424184,1.726553,1.7262,0.0,-0.0441,-0.0641,-0.1816,-0.2443,0.1599,0.0229,6.982533,0.428532,44.9939,-0.121941,0.0,0.0,-4.829626
SJCL,Hydro Power,SJCL,Sanjen Jalavidhyut Company Limited,2025/26 Q4,232.0,290.781,0.0,-0.0289,-0.1439,-0.1897,-0.1905,-0.1975,8468000000.0,3650000.0,-592808.9,1641567.15,1403500.2,81978.42,0.0,0.825223,-0.001589,0.828926,0.49855,0.134205,0.854976,0.026641,0.827563,0.476607,0.049939,0.027083,0.079868,0.026904,0.006978,0.020578,0.006815,2.245984,6.623537,2.245984,2.245984,83.7587,103.295477,103.295477,35.026605,103.295477,2.769863,0.553735,0.471901,0.825981,3.826687,1.2619,1.2954,-0.0195,-0.0276,-0.144,-0.2014,0.0372,-0.0044,-8.454545,0.748365,27.1739,-0.135251,-0.0865,-0.352,-2.099917
SKHEL,Hydro Power,SKHEL,Suryakunda Hydro Electric Limited,2025/26 Q4,834.0,1046.2188,28.9,0.0233,-0.1402,-0.2652,0.0,0.0,5751884496.0,689674.4,-66334.149,228147.936,201548.826,-33191.183,0.0,0.861496,0.034002,0.827495,0.37847,-0.187423,0.883413,0.045464,0.837948,0.42746,-0.145481,-0.052799,-0.067337,0.0,-0.014556,-0.018564,0.0,-4.812587,-6.137802,-4.812587,-4.812587,90.3818,-173.295556,-173.295556,-135.879265,-173.295556,9.22752,0.862242,0.862242,0.804301,3.659412,2.316,33.5018,-0.0441,-0.0652,-0.8702,-1.3363,0.1959,0.0302,6.486755,0.514659,33.2682,-0.221604,0.0,0.0,-9.82445
SKHL,Hydro Power,SKHL,Super Khudi Hydropower Limited,2025/26 Q4,730.0,888.0228,5.0,-0.0068,-0.1733,-0.2234,0.0,0.0,11315000000.0,1550000.0,701970.088,0.0,0.0,295976.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134721,0.207926,0.0,0.057768,0.089157,0.0,19.095259,29.471316,19.095259,19.095259,145.2884,38.229385,38.229385,24.769847,38.229385,5.024489,0.326715,0.326715,0.788298,2.335199,2.7976,6.0362,-0.0418,-0.0609,-0.482,-0.7273,0.1706,0.0331,5.154079,0.592461,34.8677,-0.165842,0.0,0.0,-8.175474
SMH,Hydro Power,SMH,Super Mai Hydropower Limited,2025/26 Q3,502.0,557.857,-5.0,0.0201,-0.0145,-0.1262,-0.1502,-0.2607,2685700000.0,535000.0,165598.965,138409.18,119462.932,37792.058,0.0,0.864549,0.098179,0.766772,0.499919,0.235993,0.879255,0.050828,0.882222,0.618088,0.328828,0.072467,0.060525,0.090529,0.03819,0.031896,0.045828,9.418581,7.866406,11.482949,7.848818,130.9531,63.958676,53.298897,63.815674,43.716993,3.833434,3.074497,2.715633,0.503314,1.88353,0.8843,0.6593,-0.0203,-0.0289,-0.102,-0.147,0.0369,-0.0079,-4.670886,0.225609,47.3559,-0.056802,-0.133,-0.3524,0.050037
SMHL,Hydro Power,SMHL,Super Madi Hydropower Limited,2025/26 Q4,467.0,499.8909,7.0,-0.0003,0.0912,0.0925,-0.0395,-0.3471,10297350000.0,2315250.0,451432.24,1330432.29,1299931.55,425993.1,0.0,1.052417,0.115995,0.936422,0.730136,0.461452,0.977075,0.071729,0.905345,0.666375,0.320191,0.159204,0.271787,0.167244,0.04562,0.07788,0.045627,18.399443,31.410965,18.399443,18.399443,119.4982,25.381203,25.381203,14.86742,25.381203,3.908008,6.512374,2.082606,0.729335,3.39314,0.942,0.7107,-0.0252,-0.0361,-0.1935,-0.2815,0.0484,-0.0093,-5.204301,0.426242,66.8967,0.01092,-0.089,-0.3845,1.229465
SMJC,Hydro Power,SMJC,Sagarmatha Jalabidhyut Company Limited,2025/26 Q4,404.0,458.257,2.9,-0.0049,-0.086,-0.1217,-0.1789,-0.248,4739728000.0,1173200.0,112501.232,223447.146,177073.928,44387.814,0.0,0.507293,0.032915,1.166304,0.827058,0.349786,0.792464,0.041739,0.90844,0.637758,0.19865,0.034762,0.055002,0.035003,0.020475,0.032398,0.020326,3.783482,5.98652,3.783482,3.783482,109.5893,106.779937,106.779937,67.484946,106.779937,3.686493,2.350812,0.557697,0.603237,1.677396,1.1231,1.243,-0.0196,-0.028,-0.1354,-0.1978,0.029,-0.0065,-4.461538,0.478001,38.4331,-0.042592,-0.0743,-0.2824,-2.682783
SNORL,Hydro Power,SNORL,Snow Rivers Limited,2025/26 Q4,880.0,835.1784,2.0,0.0185,-0.0255,0.0,0.0,0.0,8250000000.0,937500.0,113360.205,377510.889,341183.78,111818.243,0.0,0.935515,0.012681,0.922834,0.755296,0.48271,0.903772,0.017827,0.885945,0.65985,0.296199,0.120585,0.266546,0.0,0.039847,0.088078,0.0,11.927279,26.364509,11.927279,11.927279,112.0918,73.780447,73.780447,33.378206,73.780447,7.850711,2.250165,2.247861,0.682798,2.737981,1.429,0.0,-0.048,-0.0721,-0.1219,-0.2614,0.1385,0.0522,2.653257,0.596681,55.7286,0.0,0.0,0.0,-4.94718
SOHL,Hydro Power,SOHL,Solu Hydropower Limited,2025/26 Q4,650.0,652.1388,-10.0,-0.0196,-0.058,0.0172,0.0,0.0,65000000000.0,10000000.0,3804387.724,2629245.887,1380251.754,1113879.578,0.0,0.625773,0.01029,0.604956,0.604293,0.494969,0.524961,0.021601,0.50336,0.502844,0.42365,0.081445,0.074808,0.0,0.038874,0.035706,0.0,11.138796,10.231072,11.138796,11.138796,138.0439,58.354602,58.354602,63.531956,58.354602,4.708648,4.203723,4.136484,0.486671,1.80833,2.7539,-5.6292,-0.0375,-0.0549,-0.2259,-0.336,0.1132,0.0195,5.805128,0.635769,48.3641,0.079616,0.0,0.0,-10.0746
