Symbol,Sector,Ticker,Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
UHEWA,Hydro Power,UHEWA,Upper Hewakhola Hydropower Company Limited,2025/26 Q4,587.9,594.5802,7.9,-0.0119,-0.0362,-0.085,0.0711,0.2253,2939500000.0,575000.0,114925.463,261670.877,252990.591,108703.994,0.0,0.936441,0.332039,0.604402,0.604402,0.399002,0.966827,0.316069,0.653495,0.653495,0.415423,0.160923,0.165657,0.168972,0.069684,0.071734,0.070233,18.905042,19.461291,18.905042,18.905042,119.987,31.097523,31.097523,30.208684,31.097523,4.899696,46.195345,1.815118,0.583545,2.280399,1.1771,0.6263,-0.024,-0.0346,-0.1489,-0.2195,0.0406,0.0027,15.037037,0.64135,46.5389,-0.038235,0.0301,-0.1186,-4.462262
ULHC,Hydro Power,ULHC,Upper Lohore Khola Hydropower Company Limited,2025/26 Q4,299.0,439.2711,31.2,0.0275,-0.1945,-0.3014,-0.3486,-0.3361,1524313960.0,509804.0,-58594.008,69820.757,53212.398,-29018.588,0.0,0.797188,0.189635,0.607577,-0.293845,-1.830047,0.762129,0.062822,0.69934,0.102149,-0.415615,-0.062548,-0.214601,0.0,-0.028225,-0.09684,0.0,-5.692107,-19.529556,-5.692107,-5.692107,88.5066,-52.528881,-52.528881,-15.310128,-52.528881,3.378281,6.76713,0.245803,0.728228,2.248132,0.992,0.6395,-0.0255,-0.0364,-0.1273,-0.1838,0.0629,-0.0095,-6.621053,0.280325,42.4195,-0.26998,-0.2113,-0.4911,-5.100598
UMHL,Hydro Power,UMHL,United Modi Hydropower,2025/26 Q4,553.0,588.4083,3.0,-0.0098,-0.0386,-0.0557,0.0497,0.0288,6804665000.0,1316635.0,78735.0,282985.0,267858.0,75562.0,0.0,0.987634,0.075184,0.914193,0.653006,0.37403,0.946545,0.182165,0.765412,0.522006,0.267018,0.054565,0.073128,0.055556,0.035099,0.047039,0.035446,5.739024,7.691425,5.739024,5.739024,105.98,96.357846,96.357846,71.898246,96.357846,5.217965,18.024328,4.831972,0.377689,1.547553,1.4352,1.2823,-0.0219,-0.0311,-0.1569,-0.2242,0.0296,0.0015,19.733333,0.649931,33.87,-0.001878,0.019,-0.1382,-2.1323
UMRH,Hydro Power,UMRH,United IDI Mardi RB Hydropower Limited,2025/26 Q4,516.0,537.4893,-2.8,0.0039,-0.0264,-0.0373,-0.0054,-0.0593,2377851840.0,483865.2,58068.938,180288.538,157112.377,55777.795,0.0,0.808786,0.567683,0.241103,-0.108856,-0.672005,0.87145,0.134368,0.737082,0.578437,0.309381,0.101636,-0.100077,0.105786,0.042291,-0.041642,0.041783,11.527548,-11.350765,11.527548,11.527548,112.0011,44.762337,44.762337,-45.459493,44.762337,4.607099,0.453359,0.453359,0.663977,2.395834,1.4803,0.9775,-0.0238,-0.0338,-0.1639,-0.2335,0.0243,-0.0018,-13.5,0.407272,43.2843,0.015852,-0.0264,-0.1541,-0.553112
UNHPL,Hydro Power,UNHPL,Union Hydropower Limited,2025/26 Q4,353.8,433.3711,-1.2,-0.0006,-0.0638,-0.135,-0.2563,-0.2374,2653500000.0,750000.0,37619.343,81315.956,79389.367,32678.58,0.0,0.975781,0.380817,0.60064,0.18976,0.18094,0.976307,0.205111,0.77263,0.415813,0.401872,0.041575,0.016394,0.042098,0.041575,0.016394,0.042098,4.357144,1.718071,4.357144,4.357144,105.0159,81.199979,81.199979,205.92857,81.199979,3.369013,59.171689,32.031195,0.004003,1.0,1.6751,1.2301,-0.0246,-0.035,-0.1758,-0.2493,0.0382,-0.0059,-6.474576,0.444826,32.8228,-0.079422,-0.1711,-0.3682,-0.017523
UPCL,Hydro Power,UPCL,Universal Power Company Ltd,2025/26 Q4,344.5,366.9992,4.5,0.0165,-0.0157,-0.0556,-0.0457,-0.0894,7854358505.5,2485123.618,240308.411,239675.986,184591.506,27968.11,0.0,0.726278,0.045034,0.719375,0.162047,0.122102,0.770171,0.093888,0.936364,0.435979,0.116691,0.010021,0.010694,0.010435,0.006918,0.007383,0.006988,1.125421,1.201048,1.125421,1.125421,109.6699,306.107592,306.107592,286.832749,306.107592,3.141245,5.600438,2.833735,0.384647,1.450138,1.6549,1.3546,-0.0227,-0.0323,-0.167,-0.2363,0.0301,-0.0024,-12.541667,0.266122,50.7621,0.009411,-0.0515,-0.1836,1.088695
UPPER,Hydro Power,UPPER,Upper Tamakoshi Hydropower Ltd,2025/26 Q4,184.0,202.0008,-6.1,0.0033,-0.0392,-0.08,0.0581,0.0041,38971200000.0,21180000.0,-12635346.982,10668812.794,10409836.539,925934.769,0.0,0.976137,0.057171,0.893751,0.595339,0.216618,0.975726,0.059519,0.908984,0.570183,0.086789,0.095899,0.264799,0.091153,0.011691,0.032282,0.011492,4.371741,12.071336,4.371741,4.371741,44.481,42.088494,42.088494,15.242721,42.088494,4.136598,3.567357,2.540848,0.908824,8.353366,1.2415,1.2511,-0.0179,-0.0253,-0.149,-0.2069,0.0332,-0.0005,-66.4,0.454437,36.6945,-0.019001,-0.0103,-0.2269,-0.34128
USHEC,Hydro Power,USHEC,Upper Solu Hydro Electric Company Limited,2025/26 Q4,494.0,498.0876,4.0,0.0207,0.0,-0.0142,0.0739,0.0493,6669000000.0,1350000.0,256755.347,738286.136,635997.239,208763.013,0.0,0.757437,0.077115,0.699226,0.274109,0.016792,0.861451,0.046396,0.821169,0.559297,0.282767,0.129967,0.004784,0.135291,0.045651,0.00168,0.045578,15.463927,0.569247,15.463927,15.463927,119.0189,31.945314,31.945314,867.812924,31.945314,4.150601,1.81796,1.646249,0.70396,2.832176,1.3435,1.1011,-0.0213,-0.0303,-0.1621,-0.2341,0.0277,-0.0002,-138.5,0.227444,49.1635,0.024799,0.012,-0.0695,-0.764257
USHL,Hydro Power,USHL,Upper Syange Hydropower Limited,2025/26 Q4,512.0,601.1479,10.2,-0.0039,-0.034,-0.1438,-0.3962,-0.2939,1126400000.0,220000.0,217.854,65534.331,62356.859,1906.444,0.0,0.911947,0.490436,0.421567,-0.006325,-0.652675,0.951514,0.249808,0.701752,0.437721,0.029091,0.00885,-0.124019,0.009105,0.003513,-0.049232,0.003509,0.866565,-12.143704,0.866565,0.866565,100.099,590.838231,590.838231,-42.161767,590.838231,5.114935,2.711034,0.708635,0.711063,2.479582,0.8215,0.5134,-0.0222,-0.0319,-0.146,-0.2152,0.0449,-0.0074,-6.067568,0.468934,40.4443,-0.094667,-0.2126,-0.4553,-3.826546
VLUCL,Hydro Power,VLUCL,Vision Lumbini Urja Company Limited,2025/26 Q4,379.9,475.3008,-1.1,0.0131,-0.0844,-0.2151,-0.327,-0.2943,7265587500.0,1912500.0,721269.752,582327.536,528206.588,90455.711,0.0,0.889761,0.052323,1.866718,1.565749,0.989693,0.907061,0.10431,1.145133,0.758453,0.155335,0.035637,0.301029,0.035979,0.013783,0.116424,0.01338,4.72971,39.952438,4.72971,4.72971,137.7135,80.322043,80.322043,9.508806,80.322043,2.758627,11.052618,11.052618,0.609567,2.522305,1.0534,0.9737,-0.0178,-0.0252,-0.1161,-0.1613,0.0335,-0.01,-3.35,0.246178,36.9534,-0.151125,-0.18,-0.3931,1.031521
YMHL,Hydro Power,YMHL,Yambaling Hydropower Limited,2025/26 Q4,564.9,598.9873,7.9,0.0016,-0.0976,0.0,0.0,0.0,3954300000.0,700000.0,-45683.281,180118.751,142611.797,-112279.296,0.0,0.267966,0.260773,0.007193,-0.534362,-0.883993,0.791765,0.087367,0.704399,0.327349,-0.623363,-0.209261,-0.206611,0.0,-0.068655,-0.067785,0.0,-16.039899,-15.836764,-16.039899,-16.039899,93.4738,-35.218425,-35.218425,-35.670166,-35.218425,6.043404,0.247747,0.247747,0.695141,2.673038,-0.6738,0.0,-0.0476,-0.0702,-0.0516,-0.0851,0.152,0.0194,7.835052,0.546612,41.8477,0.0,0.0,0.0,-6.649839
