S.N,Year Month,Metered Energy,Energy to R.E. (Local distribution),Internal Consumption,Total Energy Generation,Backfeed Energy From NEA,Backfeed Amount,Rate to NEA,R.E Rate (NRS),Invoice to NEA(NRS),Amount paid by NEA (NRs),Amount Deducted,Revenue From R.E (NRs) Local Distribution,Previous Due Royalty Chargeable Rs,Royalty Amount,col,PlantId,FiscalId,Plant,FiscalYear,Additional Energy,Transmission Loss,Seasional Rate,Billed Amount to NEA,Amount paid by NEA Rs,Late COD & Other Fine Rs,Short Supply,Remarks,Seasional Rate (USD),Exchange Rate,Invoice to NEA(USD),Amount paid by NEA (USD)
1,2078/3,3237792.00,2564184.17,42564.00,5844540.17,,,,,,8301091.00,,14588781.00,22889872.00,2288987.2,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
2,2078/4,,3102312.11,,3102312.11,,,4.48,,13991566.61,12872237.77,,17215537.00,30087774.77,3008777.48,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
3,2078/5,,3305391.67,,3305391.67,,,4.48,,15062743.68,14935195.68,,18272530.00,33207725.68,3320772.57,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
4,2078/6,,3398925.03,,3398925.03,,,4.48,,15549484.86,15390429.74,,15996728.00,31387157.74,3138715.77,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
5,2078/7,,3022600.00,,3022600.00,,,4.48,,16597174.80,16885639.67,,14856623.00,31742262.67,3174226.27,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
6,2078/8,,2387973.72,,2387973.72,,,4.48,,10698122.27,10698122.27,,14235668.00,24933790.27,2493379.03,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
7,2078/9,,2432048.38,,2432048.38,,,4.48,,10895576.70,10895576.74,,14931107.00,25826683.74,2582668.37,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
8,2078/10,2978815.00,1822723.00,902782.00,5704320.00,,,,,,8165799.00,,15332837.00,23498636.00,2349863.6,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
9,2078/11,2695663.00,1259924.00,101590.00,4057177.00,,,,,,9155116.00,,14672307.00,23827423.00,2382742.3,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
10,2078/12,,,,0.00,,43726.00,,,,3302878.00,,14508811.00,17855415.00,1785541.5,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
11,2079/1,,,,0.00,,,,,,6900569.00,,14758434.00,21659003.00,2165900.3,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
12,2079/2,3272040.00,2584833.00,41967.00,5898840.00,,,,,,11797089.67,,15852704.00,27649793.67,2764979.37,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,31456553.76,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,40128577.7,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,18636654.8,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
1,2080/3,3888715.00,2372192.00,49593.00,6310500.00,,,4.48,5.19,,10851577.00,,20189658.00,31041235.00,3104123.5,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
2,2080/4,4052539.00,2702894.00,55227.00,6810660.00,,,4.48,4.96,,12108966.00,,20115340.00,32224306.00,3222430.6,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
3,2080/5,3932520.00,2437857.00,49563.00,6419940.00,,,4.48,5.23,,10921599.00,,20598820.00,31520419.00,3152041.9,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
4,2080/6,3437452.00,2955961.00,47647.00,6441060.00,,,4.48,5.48,,13306014.00,,18866403.00,32172417.00,3217241.7,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
5,2080/7,2997449.00,3617445.00,170926.00,6785820.00,,,4.48,5.20,,16563062.00,,15589111.00,32152173.00,3215217.3,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
6,2080/8,3008861.00,2185626.00,1389493.00,6583980.00,,,4.48,4.98,,9791607.00,,14997149.00,24788756.00,2478875.6,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
7,2080/9,3035279.00,937516.00,892245.00,4865040.00,,,4.48,5.12,,4200070.00,,15565374.00,19765444.00,1976544.4,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
8,2080/10,3031852.00,412475.00,420179.00,3864506.00,,,4.48,5.15,,1847888.00,,15637918.00,17485806.00,1748580.6,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
9,2080/11,2958875.00,362067.00,102672.00,3423614.00,,,4.48,5.26,,1622060.16,,15573658.00,17195718.16,1719571.82,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
10,2080/12,2970281.00,255860.00,46675.00,3272816.00,,,4.48,5.15,,1146252.80,,15315828.00,16462080.80,1646208.08,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
11,2081/1,3528869.00,371320.00,614539.00,4514728.00,,,4.48,4.80,,1663513.60,,16941138.00,18604651.60,1860465.16,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
12,2081/2,4066474.00,1883633.00,4117147.00,10067254.00,,,4.48,5.09,,8438677.00,,20735070.00,29173747.00,2917374.7,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
13,2081/13,,,,,,,,,,,,,,-689194.3,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,29569481.06,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,34329955.08,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,28088579.07,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
1,2081/3,3888806.00,2340703.00,48651.00,6278160.00,,,4.48,5.18,,10747651.00,,20177699.00,30925350.00,3092535.0,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
2,2081/4,4432405.00,2562629.00,53826.00,7048860.00,,,4.48,4.87,,11480577.00,,21586726.00,33067303.00,3306730.3,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
3,2081/5,4071428.00,2564255.00,48617.00,6684300.00,,,4.48,5.13,,11487861.00,,20921082.00,32408943.00,3240894.3,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
4,2081/6,3674640.00,2773633.00,46067.00,6494340.00,,,4.48,5.40,,12425877.00,,19872830.00,32298707.00,3229870.7,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
5,2081/7,3168439.00,3249544.00,49417.00,6467400.00,,,4.48,5.32,,14694123.27,,16878995.00,31573118.27,3157311.83,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
6,2081/8,3216754.00,1920794.22,1388052.00,6525600.22,,,4.48,4.86,,8605158.09,,15635716.00,24240874.09,2424087.41,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
7,2081/9,3363475.00,755627.00,890298.00,5009400.00,,,4.48,5.18,,3385211.00,,17429679.00,20814890.00,2081489.0,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
8,2081/10,3273420.00,173321.00,404059.00,3850800.00,,,4.48,5.19,,776476.00,,17005903.00,17782379.00,1778237.9,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
9,2081/11,3018042.00,93106.80,101371.00,3212519.80,,,4.48,5.47,,417118.45,,16514390.00,16931508.45,1693150.85,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
10,2081/12,3193121.00,160620.00,-556541.00,2797200.00,,,4.48,5.05,,719578.00,,16155240.00,16874818.00,1687481.8,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
11,2082/1,3737293.00,307520.00,-827853.00,3216960.00,,,4.48,4.78,,1377690.00,,17897942.00,19275632.00,1927563.2,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
12,2082/2,4128334.00,1929552.00,47355.00,6105241.00,,,4.48,6.52,,8644391.00,,26923472.00,35567863.00,3556786.3,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,31176138.59,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,36221092.12,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,32443625.54,,8,18,"Aandikhola HP , 9400 kW",081/82,,,,,,,,,,,,
1,2079/3,3805520.00,2400986.00,47834.00,6254340.00,,,,4.73,,10912774.00,,18036339.00,28949113.00,2894911.3,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
2,2079/4,3738548.00,2914636.00,48036.00,6701220.00,,,,5.20,,13134412.00,,19467402.00,32601814.00,3260181.4,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
3,2079/5,3631720.00,3127733.00,48627.00,6808080.00,,,,5.17,,14096354.00,,18799669.00,32896023.00,3289602.3,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
4,2079/6,3273009.00,3439231.00,42859.00,6755099.00,,,,4.96,,15644764.00,,16244474.00,31889238.00,3188923.8,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
5,2079/7,2866783.00,3814519.00,45838.00,6727140.00,,,,5.49,,17469166.00,,15766000.00,33235166.00,3323516.6,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
6,2079/8,2879208.00,2420135.00,1341937.00,6641280.00,,,,4.99,,10842203.00,,14375008.00,25217211.00,2521721.1,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
7,2079/9,3001016.00,2003746.00,918078.00,5922840.00,,,,4.88,,8976781.00,,14668548.00,23645329.00,2364532.9,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
8,2079/10,2725576.00,1172611.00,415693.00,4313880.00,,,,5.48,,5253297.00,,14958529.00,20211826.00,2021182.6,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
9,2079/11,2702126.00,984097.00,100258.00,3786481.00,,,,5.20,,4408753.00,,14053872.00,18462625.00,1846262.5,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
10,2079/12,2806530.00,1237500.00,43530.00,4087560.00,,,,5.07,,5459120.00,,14248242.00,19707362.00,1970736.2,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
11,2080/1,3094059.00,826508.00,614068.00,4534635.00,,,,4.89,,6891943.00,,15153570.00,22045513.00,2204551.3,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
12,2080/2,3668934.00,431269.00,46516.00,4146719.00,,,,4.53,,1932087.00,,16650419.00,18582506.00,1858250.6,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,30744372.6,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,35331974.31,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,23449053.09,,8,16,"Aandikhola HP , 9400 kW",079/80,,,,,,,,,,,,
1,2082/3,4556684.00,1434031.94,50984.00,6041699.94,,,4.48,6.53,,6424463.08,,29755074.00,36179537.08,3617953.71,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
2,2082/4,4556684.00,2288803.82,50984.00,6896471.82,,,4.48,7.16,,10253841.13,,31391051.00,41644892.13,4164489.21,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
3,2082/5,4462194.00,2315340.80,52925.00,6830459.80,,,4.48,6.76,,10372726.80,,30200971.00,40573697.80,4057369.78,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
4,2082/6,4107701.00,2686773.40,50565.00,6845039.40,,,4.48,6.79,,12036744.85,,27901327.00,39938071.85,3993807.19,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
5,2082/7,3418353.00,3304662.00,46845.00,6769860.00,,,4.48,7.13,,14974124.00,,24386441.00,39360565.00,3936056.5,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
6,2082/8,3420085.00,1491663.00,1341092.00,6252840.00,,,4.48,6.57,,6682652.00,,22498521.00,29181173.00,2918117.3,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
7,2082/9,3821903.00,350526.00,922951.00,5095380.00,,,4.48,6.15,,1570357.00,,23523180.00,25093537.00,2509353.7,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
8,2082/10,3521381.00,970710.00,47449.00,4539540.00,,,4.48,7.20,,4348781.00,,25376085.00,29724866.00,2972486.6,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
9,2082/11,3401604.00,297407.00,-296771.00,3402240.00,398450.35,4303263.75,4.48,6.64,,-2990866.14,19985.75,22619712.00,23952095.36,2395209.54,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
10,2082/12,3447507.00,203340.00,-645287.00,3005560.00,690419.75,7456533.32,4.48,6.54,,-6563647.37,13597.25,22570057.00,23476540.20,2347654.02,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
11,2083/1,3808197.00,477980.00,613963.00,4900140.00,,,4.48,6.45,,2141350.00,,24565269.00,26706619.00,2670661.9,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
12,2083/2,4410446.00,2310398.00,49316.00,6770160.00,,,4.48,6.11,,10547653.00,,26951047.00,37498700.00,3749870.0,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,39333029.45,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,0.0,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,44458567.72,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,-5125538.27,,8,19,"Aandikhola HP , 9400 kW",082/83,,,,,,,,,,,,
1,2077/3,3163797.00,1920740.00,,5084537.00,,,,4.89,,7938044.33,,15483462.00,23421506.33,2342150.63,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
2,2077/4,3367318.00,3095449.00,,6462767.00,,,,4.69,,13928103.80,,15808771.00,29736874.80,2973687.48,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
3,2077/5,3389981.00,3673584.00,,7063565.00,,,,4.87,,16630717.47,,16537827.00,33168544.47,3316854.45,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
4,2077/6,3121195.00,3544600.00,,6665795.00,,,,4.76,,16046780.04,,14873992.00,30920772.04,3092077.2,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
5,2077/7,2699207.00,3791021.00,,6490228.00,,,,4.92,,17168193.61,,13295146.00,30463339.61,3046333.96,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
6,2077/8,2751243.00,2335304.00,,5086547.00,,,,4.87,,10462162.32,,13415295.00,23877457.32,2387745.73,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
7,2077/9,2005930.00,774026.00,,2779956.00,,,,4.97,,1686803.59,,13956132.00,15642935.59,1564293.56,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
8,2077/10,2825327.00,479752.00,,3305079.00,,,,5.07,,0.00,,14327621.00,14327621.00,1432762.1,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
9,2077/11,2506481.00,565202.00,,3071683.00,,,,5.04,,939741.21,,12646388.00,13586129.21,1358612.92,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
10,2077/12,2710290.00,-737509.00,,1972781.00,,,,4.53,,0.00,,12298960.00,12298960.00,1229896.0,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
11,2078/1,3176249.00,497123.00,,3673372.00,,,,4.59,,0.00,287757.28,12298960.00,12586717.28,1258671.73,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
12,2078/2,3127177.00,2235556.00,,5362733.00,,,,3.93,,0.00,6577939.84,12298960.00,18876899.84,1887689.98,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,25890775.74,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,43874603.0,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,17908678.74,,8,14,"Aandikhola HP , 9400 kW",077/78,,,,,,,,,,,,
1,2075/1,12027734.00,2044798.00,615548.00,2660346.00,0.00,0.00,4.48,,9160697.00,9160697.00,0.00,,21188431.00,2118843.1,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
2,2075/2,13449984.00,4035156.00,52475.00,4087631.00,0.00,0.00,4.48,,18077497.00,18077497.00,0.00,,31527481.00,3152748.1,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
3,2075/3,14213985.00,3233617.00,48276.00,3281893.00,0.00,0.00,4.48,,13703485.00,13703485.00,0.00,,27917470.00,2791747.0,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
4,2075/4,14603301.00,3301473.00,52293.00,3353766.00,0.00,0.00,4.48,,14790600.00,14790600.00,0.00,,29393901.00,2939390.1,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
5,2075/5,14227802.00,3521182.00,54668.00,3575850.00,0.00,0.00,4.48,,15774897.00,15774897.00,0.00,,30002699.00,3000269.9,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
6,2075/6,13007493.00,3950000.00,179041.00,4129041.00,0.00,0.00,4.48,,17696000.00,17696000.00,0.00,,30703493.00,3070349.3,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
7,2075/7,11286865.00,4255818.00,322583.00,4578401.00,0.00,0.00,4.48,,19066065.00,19066065.00,0.00,,30352930.00,3035293.0,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
8,2075/8,10946042.00,2223080.00,1343490.00,3566570.00,0.00,0.00,4.48,,9959397.00,9959397.00,0.00,,20905439.00,2090543.9,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
9,2075/9,11364237.00,874353.00,926519.00,1800872.00,0.00,0.00,4.48,,3336630.00,3336630.00,0.00,,14700867.00,1470086.7,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
10,2075/10,11273117.00,1737969.00,420435.00,2158404.00,0.00,0.00,4.48,,7786103.00,7786103.00,0.00,,19059220.00,1905922.0,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
11,2075/11,10806912.00,1259924.00,504131.00,1764055.00,0.00,0.00,4.48,,5644460.00,5644460.00,0.00,,16451372.00,1645137.2,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
12,2075/12,10723521.00,1135851.00,45675.00,1181526.00,0.00,0.00,4.48,,4806017.00,4806017.00,0.00,,15529538.00,1552953.8,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,28773284.1,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,36186646.0,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,23830559.1,,8,11,"Aandikhola HP , 9400 kW",075/76,,,,,,,,,,,,
1,2073/3,,64729375.00,4312925.00,69042300.00,0.00,0.00,4.48,,14530922.81,14530922.81,0.00,,152873073.00,28421768.0,,8,9,"Aandikhola HP , 9400 kW",073/74,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,28421768.0,,8,9,"Aandikhola HP , 9400 kW",073/74,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,9,"Aandikhola HP , 9400 kW",073/74,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,38190934.0,,8,9,"Aandikhola HP , 9400 kW",073/74,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,-369166.0,,8,9,"Aandikhola HP , 9400 kW",073/74,,,,,,,,,,,,
1,2074/1,11445182.00,18748.00,614816.00,633564.00,0.00,0.00,4.48,,0.00,0.00,2480673.00,,11445182.00,1144518.2,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
2,2074/2,12958092.00,3662199.00,49048.00,3711247.00,0.00,0.00,4.48,,16205019.46,16205019.46,0.00,,29163111.00,2916311.1,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
3,2074/3,13277417.00,3586422.00,48291.00,3634713.00,0.00,0.00,4.48,,15663677.70,15663677.70,0.00,,28941095.00,2894109.5,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
4,2074/4,13707172.00,4205748.00,52134.00,4257882.00,0.00,0.00,4.48,,18593739.89,18593739.89,0.00,,32300912.00,3230091.2,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
5,2074/5,13621931.00,4152803.00,51064.00,4203867.00,0.00,0.00,4.48,,18171866.39,18171866.39,0.00,,31793797.00,3179379.7,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
